curso;disciplina;grau_exig;modalidade;media_notas_ant;num_disc_evadidas;mensal_atraso;sexo;idade;dist;sem;tamanho_turma;sit
Gestão da Produção;Métodos Estatísticos;3;2;7.5;0;0;F;23;1;3;42;0
Administração;Cálculo A;3;1;7.5;3;1;M;26;1;4;30;1
Engenharia de Produção;Cálculo B;3;1;7.5;0;0;F;24;1;4;24;0
Administração;Estratégias de marketing;1;2;7.5;0;2;F;18;1;4;50;0
Administração;Matemática financeira;2;1;7.5;3;3;M;20;2;4;40;0
Administração;Métodos Estatísticos;3;2;7.5;0;4;M;25;1;4;40;0
Administração;Estratégias de marketing;1;1;7.5;0;1;F;20;1;5;20;0
Administração;Gestão de Projetos;1;1;7.5;1;2;F;30;3;5;20;0
Administração;Gestão de Projetos;1;2;7.5;0;3;M;24;3;5;50;0
Administração;Matemática financeira;2;1;7.5;0;1;M;23;1;5;28;1
Gestão da Produção;Métodos Estatísticos;3;1;7.5;0;2;F;23;1;5;35;0
Administração;Comportamento do consumidor;1;2;7.5;0;0;M;25;2;6;20;0
Engenharia de Produção;Gestão de Projetos;1;1;7.5;0;2;F;27;1;6;30;0
Gestão da Produção;Métodos Estatísticos;3;2;7.5;0;4;M;20;3;6;50;1
Administração;Métodos Estatísticos;3;2;7.5;2;0;F;21;2;6;50;1
Gestão da Produção;Matemática financeira;2;2;7.5;0;0;F;22;1;7;41;
Gestão da Produção;Métodos Estatísticos;3;1;7.5;3;0;F;24;1;7;20;
Administração;Planejamento contábil;2;1;7.5;1;1;F;22;2;7;43;
Gestão da Produção;Gestão de Projetos;1;1;7.9;2;0;M;24;1;1;35;1
Administração;Matemática financeira;2;1;7.9;1;0;M;22;1;1;41;0
Gestão da Produção;Matemática financeira;2;2;7.9;0;6;F;20;2;1;33;1
Engenharia de Produção;Métodos Estatísticos;3;1;7.9;1;5;M;25;1;1;43;1
Gestão da Produção;Métodos Estatísticos;3;1;7.9;0;0;M;19;3;1;42;0
Administração;Métodos Estatísticos;3;2;7.9;1;1;M;27;1;1;40;1
Administração;Planejamento contábil;2;1;7.9;1;0;M;21;2;1;33;0
Administração;Cálculo A;3;1;7.9;0;0;M;27;2;2;41;0
Engenharia de Produção;Cálculo B;3;1;7.9;0;1;F;20;1;2;25;0
Engenharia de Produção;Cálculo B;3;1;7.9;0;0;F;22;2;3;25;0
Gestão da Produção;Métodos Estatísticos;3;1;7.9;2;0;F;23;1;3;41;1
Gestão da Produção;Métodos Estatísticos;3;1;7.9;2;0;F;24;1;3;20;0
Administração;Gestão de Projetos;1;1;7.9;0;1;M;23;1;4;42;0
Administração;Comportamento do consumidor;1;2;7.9;0;1;F;35;2;5;30;0
Administração;Gestão de Projetos;1;2;7.9;1;2;F;23;1;5;20;0
Administração;Matemática financeira;2;1;7.9;0;3;M;23;2;5;36;1
Administração;Métodos Estatísticos;3;1;7.9;0;1;F;23;1;5;24;0
Administração;Planejamento contábil;2;1;7.9;0;3;M;19;3;5;35;0
Administração;Cálculo A;3;1;7.9;0;0;F;19;1;6;30;0
Administração;Estratégias de marketing;1;1;7.9;0;0;F;22;2;6;41;0
Engenharia de Produção;Gestão de Projetos;1;1;7.9;2;3;M;23;1;6;30;1
